バス停名,lng,lat,isStation
米沢駅前,37.9094616,140.128028,1
米沢営業所,37.9102839,140.123623,1
駅前四丁目,37.9108701,140.12033,1
住之江橋,37.9113405,140.115956,1
大町,37.9117384,140.113561,1
ナセＢＡ前,37.9124463,140.110352,1
皇大神社前,37.9148832,140.109674,1
中央一丁目,37.9151265,140.110748,1
金池一丁目,37.9160055,140.113851,1
北村公園西,37.9196858,140.116524,1
文化センター南,37.9190259,140.117306,1
米沢市役所前,37.9214006,140.116296,1
年金事務所西,37.922028,140.112596,1
イオン米沢前,37.9228464,140.107791,1
総合公園口,37.9233595,140.102752,1
信夫町,37.9224056,140.100462,1
三友堂病院前,37.9194844,140.105097,1
中央四丁目,37.9190019,140.10826,1
中央三丁目,37.9177925,140.110465,1
中央二丁目,37.9152377,140.109338,1
NTT前,37.9153602,140.107214,1
法泉寺西,37.9157306,140.101375,1
すこやかセンター,37.9171544,140.099781,1
城西郵便局前,37.9161198,140.095444,1
西部ｺﾐｭﾆﾃｨｾﾝﾀｰ前,37.9155451,140.090242,1
御廟所西口,37.9127634,140.090552,1
西部こども園前,37.9084698,140.093268,1
愛宕小前,37.9045039,140.095742,1
二中前,37.9025054,140.099635,1
山大正門,37.9014795,140.105609,1
城南二丁目,37.9030608,140.107183,1
城南一丁目,37.90545,140.10753,1
上杉神社前,37.91406346432184,140.09001316968352,1
税務署前,37.9070722,140.111539,1
大町一丁目,37.9042602,140.111626,1
福田町西,37.9027428,140.114607,1
市立病院前,37.9037781,140.119093,1
福田町一丁目,37.9011098,140.120545,1
福田町二丁目,37.901937,140.117889,1
県営相生ｱﾊﾟｰﾄ東,37.9050664,140.116797,1
相生橋西,37.908083,140.117499,1
舟山病院前,37.9091791,140.122506,1
駅前二丁目,37.9092839,140.124297,1
米沢駅前,37.9094616,140.128028,1